gen	evals	min                                                          	max                                                          	avg	std                                                          
66 	100  	[0.00566031 0.         0.00108123 0.00084252]                	[0.0080241  0.25675676 0.0065996  0.07616994]                	   	[0.00023513 0.02554697 0.00054127 0.00749487]                
67 	100  	[0.00566021 0.         0.00068185 0.00084265]                	[0.01040968 0.17910448 0.00916704 0.01007581]                	   	[0.00099684 0.03177515 0.00138532 0.00169125]                
68 	100  	[0.00566021 0.         0.0007866  0.00069209]                	[0.00990644 0.06779661 0.00293315 0.00388851]                	   	[0.00042269 0.00695837 0.00019921 0.0003035 ]                
69 	100  	[0.00566021 0.         0.00063227 0.00057826]                	[0.01085131 0.89655172 0.04725898 0.0011481 ]                	   	[6.32850805e-04 9.12488278e-02 4.58505006e-03 4.80104908e-05]
70 	100  	[5.66021283e-03 0.00000000e+00 7.86601768e-04 3.55648608e-05]	[0.01069274 0.89655172 0.0231569  0.01007716]                	   	[0.00132398 0.22869846 0.005056   0.00131729]                
71 	100  	[0.00566024 0.         0.0007866  0.00069209]                	[0.0104021  0.16666667 0.00916704 0.01007581]                	   	[0.0006249  0.02258399 0.00090345 0.00103442]                
72 	100  	[0.00566021 0.         0.         0.00084162]                	[0.0104021  0.89655172 0.00916704 0.01007581]                	   	[0.00057941 0.09035708 0.00081098 0.00111706]                
73 	100  	[0.00477454 0.         0.00108123 0.0004327 ]                	[0.00935229 0.89655172 0.8494635  0.1219944 ]                	   	[0.0005107  0.12780379 0.11874573 0.01696034]                
74 	100  	[0.00477454 0.         0.00023944 0.0002955 ]                	[0.0104021  0.89655172 0.8494635  0.1219944 ]                	   	[0.0010098  0.10238935 0.11871268 0.01710905]                
75 	100  	[0.00566021 0.         0.00108123 0.00084008]                	[0.01222553 0.28571429 0.19791312 0.02410221]                	   	[0.00068922 0.03669579 0.0196312  0.00234963]                
76 	100  	[0.00566039 0.         0.         0.00084008]                	[0.0104021  0.83333333 0.19791312 0.02410221]                	   	[0.00055835 0.08851797 0.01959008 0.00267313]                
77 	100  	[0.00566039 0.         0.         0.0006584 ]                	[0.0104021  0.89655172 0.00916704 0.01117119]                	   	[0.00103928 0.12556121 0.00099153 0.00177809]                
78 	100  	[0.00566023 0.         0.00108123 0.00084058]                	[0.01071511 0.         0.00271485 0.0018955 ]                	   	[0.0005029  0.         0.00016161 0.00010465]                
79 	100  	[5.66023161e-03 0.00000000e+00 1.08122669e-03 4.93588492e-05]	[1.15426767e-02 8.96551724e-01 7.98676749e-02 8.44720607e-04]	   	[5.85212079e-04 8.92057702e-02 7.82917522e-03 7.90327371e-05]
80 	100  	[0.00566024 0.         0.00108123 0.00084286]                	[0.0104021  0.15384615 0.00916704 0.01007581]                	   	[0.00066368 0.02153846 0.00112247 0.00129252]                
81 	100  	[0.00564846 0.         0.00108123 0.00080112]                	[0.01121211 0.89655172 0.01392126 0.02122586]                	   	[0.0010959  0.09797946 0.00177726 0.00274823]                
82 	100  	[0.00564846 0.         0.00108123 0.00080112]                	[0.01023394 0.05172414 0.00303885 0.00674171]                	   	[0.00045501 0.00514649 0.00019933 0.00058703]                
83 	100  	[0.00432606 0.         0.00047259 0.00080101]                	[0.01040207 0.89655172 0.26372297 0.03502398]                	   	[0.0007486  0.09635299 0.02612373 0.00359364]                
84 	100  	[0.00432606 0.         0.00021045 0.00070508]                	[0.01059652 0.3452381  0.26372297 0.03502398]                	   	[0.00057504 0.05343466 0.03677751 0.00479966]                
85 	100  	[0.00432606 0.         0.00101856 0.0007982 ]                	[0.00871161 0.89655172 0.26372297 0.03502398]                	   	[0.00051833 0.12521587 0.06696388 0.00878651]                
86 	100  	[0.00432606 0.         0.00101856 0.00079816]                	[0.00870531 0.89655172 0.8037452  0.14562889]                	   	[0.00054958 0.14858839 0.19903928 0.03417356]                
87 	100  	[0.00432606 0.         0.00101856 0.00079816]                	[0.00985143 0.3452381  0.8037452  0.14562889]                	   	[0.000841   0.15211172 0.25180003 0.04417358]                
88 	100  	[4.32605631e-03 0.00000000e+00 8.41785483e-06 4.22546708e-04]	[0.01083534 0.89655172 0.95034214 0.1452296 ]                	   	[0.00144126 0.14967618 0.166384   0.02798088]                
89 	100  	[4.32605631e-03 0.00000000e+00 4.58305430e-05 3.28793904e-04]	[0.01243663 0.89655172 0.79682385 0.1452296 ]                	   	[0.00119978 0.16817862 0.18167293 0.03242178]                
90 	100  	[0.00420092 0.         0.00068185 0.00064768]                	[0.00951251 0.89655172 0.79682385 0.1452296 ]                	   	[0.00064001 0.12232437 0.29303236 0.0530056 ]                
91 	100  	[0.00432606 0.         0.00095776 0.00079794]                	[0.01141831 0.3452381  0.47548627 0.16737228]                	   	[0.00136422 0.0745942  0.0659543  0.01779451]                
92 	100  	[0.00432606 0.         0.00095776 0.00079785]                	[0.0117     0.89655172 0.26771117 0.03586385]                	   	[0.00127658 0.14599976 0.05241456 0.00709151]                
93 	100  	[5.63903391e-03 0.00000000e+00 5.98603010e-05 7.97853571e-04]	[0.00737432 0.26666667 0.00114576 0.02983221]                	   	[1.72557592e-04 2.65329983e-02 9.99913196e-05 2.88883520e-03]
94 	100  	[0.00563902 0.         0.00015807 0.0007978 ]                	[0.01040236 0.19117647 0.00935317 0.00987345]                	   	[0.00059798 0.02429541 0.00083533 0.00090661]                
95 	100  	[0.00563902 0.         0.00095776 0.0007978 ]                	[0.01032465 0.140625   0.04124749 0.05411941]                	   	[0.00046593 0.01399201 0.00400495 0.00530534]                
96 	100  	[0.00563902 0.         0.00095776 0.0007978 ]                	[0.01039167 0.15384615 0.00898279 0.00988328]                	   	[0.00081051 0.02624419 0.00135786 0.00154976]                
97 	100  	[5.63901727e-03 0.00000000e+00 1.49650753e-05 7.97802519e-04]	[0.0103914  0.19117647 0.00898279 0.00988312]                	   	[0.00061047 0.02429541 0.00080116 0.00090503]                
98 	100  	[5.63901550e-03 0.00000000e+00 9.57764816e-04 6.55544837e-05]	[0.0104903  0.89655172 0.03024575 0.00147442]                	   	[7.21347719e-04 1.75687540e-01 2.94956904e-03 1.42979834e-04]
99 	100  	[0.00563902 0.         0.00095776 0.0007893 ]                	[0.01039141 0.20289855 0.00898279 0.00988354]                	   	[0.00094648 0.03703195 0.00136728 0.00159684]                
