array('d', [0.3958478072131861, 0.04868756010858148, 0.0002932721688998353]) ; (0.06789682743970071, 0.008617463209807852, 0.2191780821917808, 0.2361111111111111, 0.3713907152321192, 2.102394878942056e-06, 0.14803820914066748, 3.2455866558467324e-05, 0.45569028280250945, 0.01593757684560227)
array('d', [0.3958478072131861, 0.04868756010858148, 0.0002932721688998353]) ; (0.06789682743970071, 0.008617463209807852, 0.2191780821917808, 0.2361111111111111, 0.3713907152321192, 2.102394878942056e-06, 0.14803820914066748, 3.2455866558467324e-05, 0.45569028280250945, 0.01593757684560227)
array('d', [0.14511112093061398, 0.17877387959738503, 0.00012492789079408698]) ; (0.024990482222134403, 0.012320603188297294, 0.9, 0.8965517241379309, 1.0, 8.099595015186995e-07, 0.003369724347135957, 4.922733116799631e-05, 0.057183364839319475, 0.004074152323186076)
array('d', [0.6718919180064971, 0.08485428861024688, 0.0007688161234638784]) ; (0.0645374430211973, 0.010850047997401198, 0.09523809523809523, 0.1129032258064516, 0.18687032824179395, 1.0505724707198563e-06, 0.21189245088948397, 0.0003012099454971584, 0.7813602505153595, 0.015910239714490397)
array('d', [0.6127421249562607, 0.08983990116067166, 0.0005832126593254929]) ; (0.06635557688467263, 0.010298167029710354, 0.2191780821917808, 0.22535211267605634, 0.37091572710682236, 2.8054847240103712e-06, 0.14447238340935972, 7.761880802941695e-05, 0.3700498337006012, 0.016842406136990812)
array('d', [0.5674755609997958, 0.14012860262967192, 0.0005030613879392495]) ; (0.057350171840333024, 0.012423477473501851, 0.16176470588235295, 0.17910447761194026, 0.2892427689307767, 2.640492973701007e-06, 0.10944697160783334, 0.00015424675760391819, 0.12666439696358617, 0.0150703030874934)
array('d', [0.6018619861114904, 0.08983990116067166, 0.0005832126593254929]) ; (0.06208832007714958, 0.011603394462170404, 0.08064516129032258, 0.09836065573770493, 0.16459588510287243, 8.555822203542434e-07, 0.20076570344675151, 0.00030396168446411673, 0.6031009506564057, 0.015321713030229736)
array('d', [0.3060873155794109, 0.04055003460373368, 0.00028401585784377517]) ; (0.06238821862816931, 0.009329342070646363, 0.13636363636363635, 0.15384615384615385, 0.25491862703432416, 6.805909700261293e-07, 0.17110860421488197, 0.0001288777299781962, 0.5177317435435053, 0.013990773543177607)
array('d', [0.8067059926104881, 0.17816569224297577, 0.00016302480956368175]) ; (0.054672875291340454, 0.013017186573073913, 0.0, 0.017857142857142856, 0.010774730631734208, 7.224638763546423e-07, 0.1913235401286899, 0.00038248577541663407, 0.3618592609497585, 0.014553387218992225)
array('d', [0.3490463893556068, 0.04055003460373368, 0.00028401585784377517]) ; (0.06628977239169273, 0.00815024383315765, 0.22972972972972974, 0.2465753424657534, 0.3862903427414314, 2.030523472557295e-06, 0.14005781360269057, 4.909038734700727e-06, 0.4504824366135531, 0.014853352983732835)
array('d', [0.6718919180064971, 0.08485428861024688, 0.0007688161234638784]) ; (0.0645374430211973, 0.010850047997401198, 0.09523809523809523, 0.1129032258064516, 0.18687032824179395, 1.0505724707198563e-06, 0.21189245088948397, 0.0003012099454971584, 0.7813602505153595, 0.015910239714490397)
array('d', [0.3490463893556068, 0.04055003460373368, 0.00028401585784377517]) ; (0.06628977239169273, 0.00815024383315765, 0.22972972972972974, 0.2465753424657534, 0.3862903427414314, 2.030523472557295e-06, 0.14005781360269057, 4.909038734700727e-06, 0.4504824366135531, 0.014853352983732835)
array('d', [0.8149264190974397, 0.2929043587843357, 0.0001326379075638369]) ; (0.02572050262107676, 0.012120504636272577, 0.9, 0.8965517241379309, 1.0, 1.8224088784170737e-06, 0.05641455630471143, 8.166561657171665e-05, 0.06805293005671077, 0.00423343534580935)
